#  t_peak          A_peak
   4.0160000e+00   1.2636432e+00
   6.0320000e+00   1.1591206e+00
   7.9680000e+00   1.1108794e+00
   1.0016000e+01   1.0216834e+00
   1.1968000e+01   9.7344221e-01
   1.3984000e+01   9.1791457e-01
   1.6032000e+01   8.6163317e-01
   1.8016000e+01   8.2143216e-01
   2.0016000e+01   7.7344221e-01
   2.1968000e+01   7.4128141e-01
   2.4000000e+01   7.3248744e-01
   2.5984000e+01   6.7645729e-01
   2.8016000e+01   6.5233669e-01
   2.9968000e+01   6.2067840e-01
   3.2000000e+01   6.0384422e-01
   3.4000000e+01   5.6439699e-01
   3.6032000e+01   5.4831659e-01
   3.8016000e+01   5.2419598e-01
   4.0000000e+01   5.0786433e-01
   4.2016000e+01   4.9203518e-01
   4.4016000e+01   4.9128141e-01
   4.5968000e+01   4.6690955e-01
   4.8016000e+01   4.3525126e-01
   5.0016000e+01   4.5886935e-01
   5.2000000e+01   4.1113066e-01
   5.3936000e+01   4.0208543e-01
   5.5952000e+01   3.7922111e-01
   5.8048000e+01   3.7143217e-01
   6.0000000e+01   3.6314071e-01
   6.2048000e+01   3.6288945e-01
   6.4016000e+01   3.4706031e-01
   6.6032000e+01   3.4706031e-01
   6.8016000e+01   3.3851759e-01
   7.0032000e+01   3.2268845e-01
   7.2016000e+01   3.2293970e-01
   7.4016000e+01   2.9103016e-01
   7.5968000e+01   2.9103016e-01
   7.7952000e+01   2.9077890e-01
   8.0032000e+01   2.8977388e-01
   8.2000000e+01   2.9052764e-01
   8.4016000e+01   2.8273870e-01
   8.5984000e+01   2.6665830e-01
   8.7984000e+01   2.6665830e-01
   9.0000000e+01   2.5861810e-01
   9.2000000e+01   2.5786433e-01
   9.4064000e+01   2.3474875e-01
   9.6064000e+01   2.4203518e-01
   9.8048000e+01   2.4203518e-01
   1.0001600e+02   2.3449749e-01
   1.0201600e+02   2.3399498e-01
   1.0401600e+02   2.2620604e-01
   1.0606400e+02   2.1037689e-01
   1.0801600e+02   2.3449749e-01
   1.1001600e+02   2.1841709e-01
   1.1201600e+02   2.2545227e-01
   1.1396800e+02   2.1766332e-01
   1.1603200e+02   1.9454775e-01
   1.1793600e+02   1.9454775e-01
   1.2001600e+02   1.9454775e-01
   1.2198400e+02   1.8600503e-01
   1.2408000e+02   1.8600503e-01
   1.2600000e+02   1.9379398e-01
   1.2803200e+02   2.0987438e-01
   1.3003200e+02   1.9429649e-01
   1.3195200e+02   1.7771358e-01
   1.3400000e+02   1.8625629e-01
   1.3595200e+02   1.7042714e-01
   1.3793600e+02   1.7771358e-01
   1.4009600e+02   1.7771358e-01
   1.4206400e+02   1.7017589e-01
   1.4401600e+02   1.7771358e-01
   1.4601600e+02   1.6238694e-01
   1.4801600e+02   1.6213569e-01
   1.5000000e+02   1.6238694e-01
   1.5208000e+02   1.6992463e-01
   1.5403200e+02   1.6967337e-01
   1.5601600e+02   1.5434674e-01
   1.5801600e+02   1.6188443e-01
   1.5998400e+02   1.6188443e-01
   1.6204800e+02   1.5384423e-01
   1.6400000e+02   1.6163317e-01
   1.6596800e+02   1.4630654e-01
   1.6800000e+02   1.5359297e-01
   1.7000000e+02   1.6942212e-01
   1.7201600e+02   1.5359297e-01
   1.7396800e+02   1.4555277e-01
   1.7604800e+02   1.5409549e-01
   1.7804800e+02   1.5359297e-01
   1.8008000e+02   1.6138192e-01
