#  t_peak          A_peak
  -0.0000000e+00   1.8432487e+00
   5.5920000e+01   1.5844547e+00
   1.1192000e+02   1.2766658e+00
   1.6792000e+02   1.0027965e+00
   2.2392000e+02   7.9425375e-01
   2.7984000e+02   6.3407787e-01
   3.3592000e+02   5.1975626e-01
   3.9192000e+02   4.2616330e-01
   4.4792000e+02   3.5267084e-01
   5.0392000e+02   2.9865074e-01
   5.5992000e+02   2.4525878e-01
   6.1576000e+02   1.7867586e-01
   6.7184000e+02   1.7176632e-01
   7.2784000e+02   1.4475627e-01
   7.8384000e+02   1.2465576e-01
