#  dt		   adj R^2 dual    adj R^2 single mode diffusion
   5.0000000e-01   9.9807000e-01   9.9632461e-01
   1.0000000e+00   9.9842877e-01   9.9636755e-01
   1.5000000e+00   9.9881059e-01   9.9823330e-01
   2.0000000e+00   9.9622380e-01   9.9636110e-01
   2.5000000e+00   9.9710770e-01   9.9593346e-01
   3.0000000e+00   9.9470069e-01   9.9596135e-01
   3.5000000e+00   9.9704035e-01   9.9781313e-01
   4.0000000e+00   9.9762895e-01   9.9790336e-01
   4.5000000e+00   9.9436580e-01   9.9722981e-01
   5.0000000e+00   9.8229406e-01   9.8942037e-01
   5.5000000e+00             NaN   9.9300781e-01
   6.0000000e+00             NaN   9.8401446e-01
