#  x1, kvot        y1              x2, brus 14     y2              x3, brus 9      y3              x4, ed          y4              x5, lp          y5              x6, spring 2.6  y6              x7, spring 6.0  y7
   0.0000000e+00   1.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   1.0000000e+00
   9.9178597e-03   9.9511300e-01   9.2418961e-03   9.6748700e-01   9.5600629e-03   9.8593400e-01   9.8403290e-03   9.4701987e-01   1.1919324e-02   9.6891192e-01   9.4119859e-03   9.7965400e-01   9.7907669e-03   9.8866600e-01
   1.9833957e-02   9.9005100e-01   1.8483613e-02   9.3891500e-01   1.9119514e-02   9.7254800e-01   1.8698543e-02   9.2384106e-01   2.1716205e-02   9.5336788e-01   1.8823870e-02   9.5942000e-01   1.9581169e-02   9.7730500e-01
   2.9750055e-02   9.8499800e-01   2.7725330e-02   9.1289900e-01   2.8678966e-02   9.5933300e-01   2.7556757e-02   8.9072848e-01   3.1513087e-02   9.2746114e-01   2.8235755e-02   9.3912500e-01   2.9371570e-02   9.6604400e-01
   3.9666153e-02   9.7991000e-01   3.6967046e-02   8.8885300e-01   3.8238417e-02   9.4649700e-01   3.6414971e-02   8.7417219e-01   4.1309968e-02   9.2227979e-01   3.7647639e-02   9.1925400e-01   3.9161972e-02   9.5455100e-01
   4.9582251e-02   9.7479700e-01   4.6208763e-02   8.6646500e-01   4.7797869e-02   9.3397700e-01   4.5273185e-02   8.6092715e-01   5.1106850e-02   8.8601036e-01   4.7059523e-02   8.9940400e-01   4.8952374e-02   9.4303500e-01
   5.9498348e-02   9.6952600e-01   5.5450480e-02   8.4542900e-01   5.7357320e-02   9.2140800e-01   5.4131398e-02   8.3112583e-01   6.0903731e-02   8.8601036e-01   5.6471408e-02   8.7960700e-01   5.8742776e-02   9.3157000e-01
   6.9414446e-02   9.6433800e-01   6.4692197e-02   8.2547900e-01   6.6916771e-02   9.0917100e-01   6.2989612e-02   8.2119205e-01   7.0700613e-02   8.7564767e-01   6.5883292e-02   8.5986100e-01   6.8533178e-02   9.2001100e-01
   7.9330544e-02   9.5899500e-01   7.3933913e-02   8.0608800e-01   7.6476223e-02   8.9737200e-01   7.1847826e-02   8.0132450e-01   8.0497494e-02   8.7046632e-01   7.5295177e-02   8.4041200e-01   7.8323579e-02   9.0833200e-01
   8.9246642e-02   9.5354200e-01   8.3175630e-02   7.8763300e-01   8.6035674e-02   8.8547100e-01   8.0706040e-02   7.7814570e-01   9.0294376e-02   8.4974093e-01   8.4707061e-02   8.2111200e-01   8.8113981e-02   8.9636100e-01
   9.9162739e-02   9.4812000e-01   9.2417347e-02   7.6967100e-01   9.5595126e-02   8.7375800e-01   8.9564254e-02   7.5165563e-01   1.0009126e-01   8.2901554e-01   9.4118945e-02   8.0205900e-01   9.7904383e-02   8.8447800e-01
   1.0907884e-01   9.4273900e-01   1.0165906e-01   7.5233300e-01   1.0515458e-01   8.6216500e-01   9.8422468e-02   7.3841060e-01   1.0988814e-01   8.2383420e-01   1.0353083e-01   7.8298700e-01   1.0769478e-01   8.7282500e-01
   1.1899493e-01   9.3723900e-01   1.1090078e-01   7.3555100e-01   1.1471403e-01   8.5063600e-01   1.0728068e-01   7.3178808e-01   1.1968502e-01   8.2383420e-01   1.1294271e-01   7.6418100e-01   1.1748519e-01   8.6102500e-01
   1.2891103e-01   9.3145000e-01   1.2014250e-01   7.1935500e-01   1.2427348e-01   8.3908000e-01   1.1613890e-01   7.0198675e-01   1.2948190e-01   8.0829016e-01   1.2235460e-01   7.4540700e-01   1.2727559e-01   8.4907600e-01
   1.3882713e-01   9.2577400e-01   1.2938421e-01   7.0311200e-01   1.3383293e-01   8.2759100e-01   1.2499711e-01   6.7218543e-01   1.3927878e-01   8.0829016e-01   1.3176648e-01   7.2685600e-01   1.3706599e-01   8.3722100e-01
   1.4874323e-01   9.1986600e-01   1.3862593e-01   6.8724000e-01   1.4339238e-01   8.1642600e-01   1.3385532e-01   6.3576159e-01   1.4907566e-01   7.8238342e-01   1.4117837e-01   7.0849500e-01   1.4685639e-01   8.2526200e-01
   1.5865933e-01   9.1410300e-01   1.4786765e-01   6.7160800e-01   1.5295183e-01   8.0521900e-01   1.4271354e-01   6.1920530e-01   1.5887255e-01   7.7720207e-01   1.5059025e-01   6.9017100e-01   1.5664679e-01   8.1319700e-01
   1.6857542e-01   9.0807000e-01   1.5710936e-01   6.5652100e-01   1.6251129e-01   7.9395400e-01   1.5157175e-01   6.0596026e-01   1.6866943e-01   7.6165803e-01   1.6000214e-01   6.7227700e-01   1.6643720e-01   8.0121300e-01
   1.7849152e-01   9.0205600e-01   1.6635108e-01   6.4162500e-01   1.7207074e-01   7.8275600e-01   1.6042996e-01   5.8609272e-01   1.7846631e-01   7.5647668e-01   1.6941402e-01   6.5430100e-01   1.7622760e-01   7.8914100e-01
