#  x=dt^2          y1=slow d rate  y2=fast d rate  y1_err (down)   y1_err (up)     y2_err (down)   y2_err (up)
   2.5000000e-01   1.2918878e-02   5.5920320e-02   1.3519424e-03   1.3519424e-03   5.8421152e-03   5.8421152e-03
   1.0000000e+00   8.4317745e-03   4.3966071e-02   8.8395869e-04   8.8395869e-04   3.0383868e-03   3.0383868e-03
   2.2500000e+00   9.0815363e-03   4.4146609e-02   9.8683607e-04   9.8683607e-04   3.3954037e-03   3.3954037e-03
   4.0000000e+00   7.5132779e-03   3.9784295e-02   1.5577576e-03   1.5577576e-03   3.9057302e-03   3.9057302e-03
   6.2500000e+00   8.1161810e-03   4.3036942e-02   1.4929615e-03   1.4929615e-03   4.8746645e-03   4.8746645e-03
   9.0000000e+00   7.8777080e-03   4.1173373e-02   1.7304006e-03   1.7304006e-03   4.7956405e-03   4.7956405e-03
   1.2250000e+01   6.9920608e-03   3.8507704e-02   3.3780337e-03   3.3780337e-03   7.4454635e-03   7.4454635e-03
   1.6000000e+01   7.4274501e-03   3.7445632e-02   4.2637649e-03   4.2637649e-03   7.1256134e-03   7.1256134e-03
   2.0250000e+01   1.2015368e-02   4.3541896e-02   4.7761956e-03   4.7761956e-03   1.6821831e-02   1.6821831e-02
   2.5000000e+01   7.1477993e-03   3.4037015e-02   7.7514603e-03   7.7514603e-03   1.0494974e-02   1.0494974e-02
   3.0250000e+01   6.1682572e-03   3.0785374e-02   1.4089221e-02   1.4089221e-02   1.2177468e-02   1.2177468e-02
   3.6000000e+01   7.2074825e-03   3.5509770e-02   4.5372588e-03   4.5372588e-03   7.3311813e-03   7.3311813e-03
